date,region,season,population,current_cases,cases,recovered,deaths,transmission_rate,vaccination_rate,mobility_index,temperature,humidity,population_density,healthcare_capacity,future_cases
2020-05-20,europe,winter,19751515,59806,52337,47866,2182,3.303285525395006,34.08053850157442,1,-2.9239398775019936,75.34920326222796,6601.610218507013,6069,66306.23366508652
2020-05-21,europe,spring,7439838,80083,93728,49303,4675,1.1305552670641674,94.58629178406318,3,34.123509747156774,20.832848257160894,3197.558973484055,9081,46728.6425108668
2020-05-22,africa,spring,46891381,92207,77074,47226,1170,0.8845208980927404,45.61743394987935,3,19.119775420425153,40.52091595773112,7674.121490752579,21132,80860.99883464356
2020-05-23,south-america,summer,16620181,64439,21291,44947,489,3.592893886907964,46.15913258801325,1,-3.6578036553701416,20.414684581780165,2077.0927115877084,41718,68562.50242238835
2020-05-24,asia,spring,14567188,61637,54199,3458,2525,1.7002538196571857,53.75591980401383,6,13.09626021028675,46.33409893066387,9003.346225746775,24508,141109.6811926225
2020-05-25,north-america,summer,3038199,33858,48521,54940,1182,2.893545437181612,87.09182029628094,9,32.239586893295574,24.42123697148975,5234.585335907267,24341,51207.73369146352
2020-05-26,africa,winter,48941287,37814,8615,43375,4479,0.5887201149237846,76.07771948667627,8,34.878109672658006,83.94576767818688,1153.9169027251244,48040,33621.17417519362
2020-05-27,south-america,winter,9098604,15389,1391,8333,4258,2.9151641094330736,42.85735663079493,7,3.2324752499380747,49.0975506614008,4014.443904178255,17502,170937.76318364753
2020-05-28,africa,autumn,38564208,59674,66644,15539,2488,1.6063545904143968,68.27643026741562,10,25.563291235522655,52.164704240508705,2075.537635456919,25866,197690.42644412964
2020-05-29,oceania,winter,49378740,27776,19820,36325,1876,0.6950929875560461,55.69237238417236,8,-5.0007376258111655,44.489516526359836,2004.8574074201101,3757,31006.929696243016
2020-05-30,south-america,summer,42821553,68109,24332,49175,2462,2.6343446654184097,46.774869626618646,6,-8.32270642939211,63.925430794123635,5068.633679145567,21330,226271.38331861107
2020-05-31,south-america,winter,36957821,36070,41879,8645,1630,1.3428133562561064,18.2699984145133,9,18.01994769099714,74.90856816327425,6722.201236207362,18780,311872.4294311015
2020-06-01,asia,autumn,8125407,94743,32965,30054,287,1.85382534718158,44.07394502821464,3,24.741378966406295,65.37027201342846,9117.065872979249,17258,151891.6193561559
2020-06-02,south-america,spring,21231601,69132,61398,5623,4282,0.7820328430027976,23.35276576714459,10,29.7893365588251,72.37449828765892,5026.598487528898,19295,263438.3824921334
2020-06-03,africa,summer,48155661,16097,10217,56058,1907,1.0150713788323087,86.9100042359072,10,7.0108119227667345,83.41815644564824,9658.729362832719,42440,13563.567111769611
2020-06-04,south-america,spring,25654414,48878,87339,1925,1161,1.5429203242354532,31.863647282152957,9,-9.67372947855565,80.448257217,9416.932172212953,36050,183095.34270365466
2020-06-05,asia,autumn,27031806,23235,67638,43942,129,0.8141582519605499,90.46508138067037,4,13.97596185556769,67.1840916927587,8651.97467454376,13079,14316.926065492464
2020-06-06,asia,autumn,13576005,95296,28230,69729,2363,3.687891926402103,50.64025255899757,7,-9.207322731321652,35.02465740331,5004.772876974562,7967,756837.8048644138
2020-06-07,oceania,autumn,44821695,6653,84060,12212,143,0.5211646511439245,59.99671597423523,9,-5.400774466460003,64.63919957293501,1417.6303974429554,15255,6676.831151388945
2020-06-08,africa,spring,3251882,93069,74095,65779,15,2.19351076602509,51.57934222648614,2,6.3344511265874175,55.425816701835764,2186.8656534556953,13106,97053.20020414749
2020-06-09,europe,spring,32234444,36737,22041,32977,244,0.93136610346393,12.291158611836584,2,11.858602478008859,70.2053461707294,6480.223327092636,4429,37777.928721412994
2020-06-10,europe,spring,30419320,11015,70731,10804,926,1.57687681317282,35.70301580575439,9,3.973472061482429,78.30521538750403,4223.332253039119,22651,56784.65894987693
2020-06-11,south-america,spring,3310016,65707,80817,71093,3178,3.7412084593639294,9.418880666374273,3,19.09326332523539,71.99050480304922,1476.548301222424,35965,704543.6300636529
2020-06-12,oceania,autumn,6837320,16039,71322,28921,2176,1.065930936458954,59.18063419742126,9,-7.232510539095241,79.25928189728997,4795.149397056711,1504,21335.660558866257
2020-06-13,north-america,autumn,36043815,14236,59776,70468,886,3.880413119014164,42.4530485440417,5,-2.7710144880207643,24.470646133871668,184.1311495654388,37969,178162.17018541138
